Fall 2011,xyz,Intermediate French 1,0,4,Sali,Ziane,10261,FRNH2101,18,16,
Fall 2011,xyz,Elementary French 2,0,4,Sali,Ziane,10262,FRNH1102,15,10,
Fall 2012,xyz,Elementary ASL 1,0,4,Alma,Bournazian,10267,AMSL1101,18,18,
Fall 2010,xyz,Lab for BIOL 1113,0,1,Aaron,Roth,10272,BIOL1114,19,17,
Fall 2011,xyz,Elementary Chinese 1,0,4,Jie,Li,10273,CHNS1101,18,16,
Fall 2010,xyz,Business Basics for Technological Entrepreneurship,0,4,Benjamin,Compaine,10274,TECE2310,30,14,
Fall 2011,xyz,Elementary Chinese 1,0,4,Hua,Dong,10274,CHNS1101,18,15,
Fall 2011,xyz,Elementary Chinese 1,0,4,Qinghong,Cai,10275,CHNS1101,18,18,
Fall 2010,xyz,Calculus 2,0,4,Liang,Tian,10278,MATH1242,19,19,
Fall 2011,xyz,Elementary ASL 2,0,4,Alma,Bournazian,10282,AMSL1102,9,4,
Fall 2012,xyz,Small Business Service and Retail Creation,0,4,Edmund,Clark,10283,ENTR4503,19,19,
Fall 2011,xyz,American Film Survey,0,4,Michael,Dow,10285,CINE3395,35,23,
Fall 2010,xyz,Elementary German 1,0,4,Sermin,Muctehitzade,10293,GRMN1101,18,17,
Fall 2012,xyz,Sociology of Violence,0,4,Jack,Levin,10295,SOCL1241,250,183,
Fall 2012,xyz,Introduction to Sociology,0,4,T,Jones,10296,SOCL1101,115,103,
Fall 2012,xyz,Lab for PHYS 1155,0,1,Mitchell,Lawrence,10301,PHYS1156,10,10,
Fall 2012,xyz,Physics for Engineering 2,0,3,Darien,Wood,10303,PHYS1155,140,142,
Fall 2012,xyz,Lab for PHYS 1145,0,1,David,Francescone,10308,PHYS1146,10,10,
Fall 2010,xyz,Elementary Chinese 1,0,4,Qinghong,Cai,10311,CHNS1101,18,18,
Fall 2011,xyz,Co-op and Experiential Learning Reflection Seminar 1,0,1,Richard,Porter,10316,MATH3000,19,10,
Fall 2011,xyz,Small Business Service and Retail Creation,0,4,Edmund,Clark,10321,ENTR4503,19,14,
Fall 2011,xyz,Sociology of Violence,0,4,Jack,Levin,10334,SOCL1241,400,274,
Fall 2011,xyz,Introduction to Sociology,0,4,Arnold,Arluke,10335,SOCL1101,114,113,
Fall 2009,xyz,Principles of Macroeconomics,0,4,Ahmad,Saranjam,10336,ECON1115,49,49,
Fall 2009,xyz,Principles of Macroeconomics,0,4,Daniel,Greenfield,10338,ECON1115,49,49,
Fall 2009,xyz,Lab for ENVR 1200,0,1,Martin,Ross,10347,ENVR1201,26,20,
Fall 2009,xyz,Dynamic Earth,0,4,Daniel,Douglass,10348,ENVR1200,114,116,
Fall 2012,xyz,Introduction to Logic,0,4,Rory,Smead,10348,PHIL1115,49,49,
Fall 2009,xyz,Natural Disasters and Catastrophes,0,4,Jennifer,Cole,10350,ENVR1104,125,126,
Fall 2012,xyz,Calculus and Differential Equations for Biology 2,0,4,Arshag,Hajian,10350,MATH1252,30,30,
Fall 2010,xyz,Co-op and Experiential Learning Reflection Seminar 1,0,1,Richard,Porter,10355,MATH3000,30,18,
Fall 2009,xyz,Developmental Psychology,0,4,Christina,Crowe,10356,PSYC3404,75,76,

Fall 2011,xyz,Lab for PHYS 1145,0,1,Longhai,Lai,10362,PHYS1146,10,10,
Fall 2010,xyz,Small Business Service and Retail Creation,0,4,Edmund,Clark,10363,ENTR4503,36,17,
Fall 2009,xyz,Elementary Japanese 2,0,4,Rei,Inouye,10364,JPNS1102,18,12,
Fall 2010,xyz,Innovation!,0,4,Gordon,Adomdza,10364,ENTR1204,40,35,
Fall 2011,xyz,Lab for PHYS 1145,0,1,Alexander,Hyde,10366,PHYS1146,10,8,
Fall 2010,xyz,Leadership in a Complex World,0,4,Gary,Soldato,10371,ARMY4402,10,5,
Fall 2012,xyz,Calculus 2 for Sci/Engr (Hon),0,4,Leonid,Petrov,10373,MATH1342,49,44,
Fall 2009,xyz,Cervantes and His Times,0,4,Stephen,Sadow,10374,LITR3502,35,18,
Fall 2012,xyz,General Biology 1,0,4,Mary-Susan,Potts-Santone,10382,BIOL1111,200,121,


Fall 2011,xyz,Introduction to Logic,0,4,Rory,Smead,10390,PHIL1115,49,49,
Fall 2012,xyz,Lab for PHYS 1161,0,1,Mengxi,Liu,10398,PHYS1162,10,6,
Fall 2012,xyz,Lab for PHYS 1161,0,1,Jin,Xu,10399,PHYS1162,10,7,
Fall 2011,xyz,Environmental Ethics,0,4,Ronald,Sandler,10403,PHIL1180,40,40,
Fall 2010,xyz,Lab for PHYS 1145,0,1,Renjie,Wang,10405,PHYS1146,10,10,
Fall 2012,xyz,Lab for PHYS 1155,0,1,Jack,Mitcham,10408,PHYS1156,10,10,
Fall 2012,xyz,Lab for PHYS 1155,0,1,Christopher,Lane,10409,PHYS1156,10,10,
Fall 2012,xyz,Lab for PHYS 1155,0,1,Alexei,Matyushov,10411,PHYS1156,10,10,
Fall 2010,xyz,Lab for PHYS 1145,0,1,Ismet,Altunkaynak,10414,PHYS1146,10,10,
Fall 2011,xyz,Moral Philosophy,0,4,Ronald,Sandler,10416,PHIL3435,19,12,
Fall 2009,xyz,Lab for BIOL 1113,0,1,Aaron,Roth,10418,BIOL1114,24,24,
Fall 2011,xyz,Financial Management,0,4,Gary,Osmond,10418,FINA2201,40,39,

