Fall 2009,Coll of Computer & Info Sci,Network Security,4,4,Guevara,Noubir,16056,CS6740,50,9,
Fall 2009,Coll of Computer & Info Sci,Master's Project,4,4,Peter,Desnoyers,17169,CS8674,10,1,
Fall 2009,Bouve College of Hlth Sciences,Legal Issues Hlth Informatics,3,3,Joseph,Ternullo,12594,HINF6325,25,18,
Fall 2009,Coll of Computer & Info Sci,Data Mining Techniques,4,4,Mirek,Riedewald,12645,CS6220,41,41,
Fall 2009,Coll of Computer & Info Sci,Computer/Info Sci Co-op Prep,1,1,Melvin,Simms,11107,CS1220,45,17,
Fall 2009,Coll of Computer & Info Sci,Recitation For CS 5010,0,0,Matthias,Felleisen,14292,CS5011,25,12,
Fall 2009,Coll of Computer & Info Sci,Programming Design Paradigm,4,4,Mitchell,Wand,14286,CS5010,100,17,
Fall 2009,Coll of Computer & Info Sci,Fundamentals of Computer Sci 1,4,4,Olin,Shivers,11542,CS2500,100,76,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Timothy,Bickmore,16993,CS9996,1,1,
Fall 2009,Coll of Computer & Info Sci,Human Computer Interaction,4,4,Timothy,Bickmore,12970,CS5340,40,34,
Fall 2009,Coll of Computer & Info Sci,Lab for CS 1500,1,1,Peter,Douglass,11968,CS1501,38,26,
Fall 2009,Coll of Computer & Info Sci,"Algorithms, Data Structur Engr",4,4,Peter,Douglass,11538,CS1500,60,52,
Fall 2009,Coll of Computer & Info Sci,Master's Project,4,4,Gene,Cooperman,17158,CS8674,10,1,
Fall 2009,Coll of Computer & Info Sci,Computer Organization,4,4,John,Casey,11523,CS2600,60,24,
Fall 2009,Coll of Computer & Info Sci,Comp/Info Science Overview 1,1,1,John,Casey,11533,CS1200,45,27,
Fall 2009,Coll of Computer & Info Sci,Research,4,4,Pete,Manolios,17133,CS8984,1,1,
Fall 2009,Coll of Computer & Info Sci,Lab for CS 2800,1,1,Pete,Manolios,12298,CS2801,19,11,
Fall 2009,Bouve College of Hlth Sciences,Business Hlth-Care Informatics,3,3,James,Noga,12684,HINF6202,30,25,
Fall 2009,Coll of Computer & Info Sci,Readings,2,4,Olin,Shivers,17187,CS8982,1,1,
Fall 2009,Coll of Computer & Info Sci,Lab for CS 2500,1,1,Olin,Shivers,10075,CS2501,38,17,
Fall 2009,Coll of Computer & Info Sci,Thesis,4,4,Javed,Aslam,17156,CS7990,10,1,
Fall 2009,Coll of Computer & Info Sci,Recitation for CS 1800,0,0,Javed,Aslam,10494,CS1801,27,23,
Fall 2009,Coll of Computer & Info Sci,Dissertation,2,4,Riccardo,Pucella,16791,CS9990,0,1,
Fall 2009,Coll of Computer & Info Sci,CS & Its Applications,4,4,Peter,Douglass,15415,CS1100,45,45,
Fall 2009,Coll of Computer & Info Sci,Algorithms,4,4,Harriet,Fell,13926,CS5800,45,20,
Fall 2009,Coll of Computer & Info Sci,Readings,2,4,Rajmohan,Rajaraman,17186,CS8982,1,1,
Fall 2009,Coll of Computer & Info Sci,Directed Study,1,1,Fred,Howell,17058,IA5976,1,1,
Fall 2009,Bouve College of Hlth Sciences,Database Design and Security,3,3,Daniel,Feinberg,16425,HINF6220,30,19,
Fall 2009,Bouve College of Hlth Sciences,KeyStandrds Health Infrmatics,3,3,Daniel,Ries,16426,HINF6355,30,0,
Fall 2009,Coll of Computer & Info Sci,CS & Its Applications,4,4,Kristyna,Reisberg,15418,CS1100,45,46,
Fall 2009,Coll of Computer & Info Sci,Readings,2,4,Mirek,Riedewald,17105,CS8982,3,3,
Fall 2009,Coll of Computer & Info Sci,Programming Design Paradigm,4,4,Matthias,Felleisen,16186,CS5010,100,43,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Matthias,Felleisen,17066,CS9996,1,1,
Fall 2009,Coll of Computer & Info Sci,Readings,2,4,Matthias,Felleisen,16983,CS8982,0,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Gene,Cooperman,17000,CS9996,1,1,
Fall 2009,Coll of Computer & Info Sci,Dissertation,2,4,Ravi,Sundaram,16999,CS9990,1,1,
Fall 2009,Coll of Computer & Info Sci,Systems & Networks,4,4,John,Casey,11514,CS3600,60,41,
Fall 2009,Coll of Computer & Info Sci,Comp/Info Science Overview 1,1,1,John,Casey,11536,CS1200,45,25,
Fall 2009,Coll of Computer & Info Sci,Senior Seminar,1,1,Raoul,Smith,11511,CS4000,40,10,
Fall 2009,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Olin,Shivers,17025,CS9996,1,1,
Fall 2009,Coll of Computer & Info Sci,Thesis,4,4,Timothy,Bickmore,17004,CS7990,1,1,
Spring 2010,Coll of Computer & Info Sci,Research,2,4,Pete,Manolios,35969,CS8984,0,2,
Spring 2010,Coll of Computer & Info Sci,Lab for CS 2800,1,1,Pete,Manolios,30021,CS2801,19,13,
Spring 2010,Coll of Computer & Info Sci,Research,2,4,Javed,Aslam,36019,CS8984,5,1,
Spring 2010,Coll of Computer & Info Sci,Research Work Experience,0,0,Agnes,Chan,35816,CS8949,5,1,
Spring 2010,Coll of Computer & Info Sci,Readings,1,4,Themis,Papageorge,35887,IA8982,10,3,
Spring 2010,Bouve College of Hlth Sciences,KeyStandrds Health Infrmatics,3,3,Daniel,Ries,35517,HINF6355,40,11,
Spring 2010,Coll of Computer & Info Sci,Readings,2,4,Karl,Lieberherr,36059,CS8982,5,1,
Spring 2010,Coll of Computer & Info Sci,Comp/Info Science Overview 2,1,1,Aileen,Kent Yates,31272,CS1210,60,58,
Spring 2010,Coll of Computer & Info Sci,Lab for CS 2500,1,1,,,30983,CS2501,45,50,
Spring 2010,Coll of Computer & Info Sci,Object-Oriented Design,4,4,Riccardo,Pucella,31271,CS3500,60,35,
Spring 2010,Coll of Computer & Info Sci,Lab for CS 2510,1,1,Viera,Proulx,31875,CS2511,38,36,
Spring 2010,Coll of Computer & Info Sci,Fundamentals - Computer Netwkg,4,4,Guevara,Noubir,32764,CS5700,34,19,
Spring 2010,Coll of Computer & Info Sci,Network Security,4,4,Guevara,Noubir,34591,CS4740,34,18,
Spring 2010,Coll of Computer & Info Sci,Fndtns Artificial Intellegence,4,4,Carole,Hafner,34053,CS5100,40,26,
Spring 2010,Coll of Computer & Info Sci,Compilers,4,4,Olin,Shivers,34588,CS4410,34,17,
Spring 2010,Bouve College of Hlth Sciences,American Health-Care System,3,3,Catherine,Delorey,35522,HINF5105,40,24,
Spring 2010,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Timothy,Bickmore,35818,CS9996,5,1,
Spring 2010,Coll of Computer & Info Sci,Lab for CS 2800,1,1,Pete,Manolios,30022,CS2801,19,19,
Spring 2010,Coll of Computer & Info Sci,Lab for CS 2800,1,1,Pete,Manolios,32118,CS2801,19,19,
Spring 2010,Bouve College of Hlth Sciences,Health Systems Lab,3,3,Arvind,Kumar,32553,HINF6225,25,25,
Spring 2010,Coll of Computer & Info Sci,Research,2,4,Albert-Laszlo,Barabasi,36004,CS8984,5,1,
Spring 2010,Bouve College of Hlth Sciences,Data Management in Healthcare,3,3,Norm,Costin,32666,HINF6210,30,0,
Spring 2010,Coll of Computer & Info Sci,Algorithms,4,4,Gene,Cooperman,32765,CS5800,40,28,
Spring 2010,Coll of Computer & Info Sci,Dissertation Continuation,0,0,Robert,Futrelle,35878,CS9996,5,1,
Spring 2010,Coll of Computer & Info Sci,Artificial Intelligence,4,4,Robert,Futrelle,30765,CS4100,60,14,
